"user_id","recipe_code","recipe_name","user_pred","item_pred","actual","error_user","error_item"
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","12700","Big Soft Ginger Cookies",4,5,5,-1,0
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","32264","Easy Chicken Enchiladas",4,5,5,-1,8.88178419700125e-16
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","9010","Favorite Dutch Apple Pie",4,5,5,-1,0
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","2912","Zucchini Pizza Casserole",4.58504105137614,4.82592476907551,4,0.585041051376143,0.825924769075509
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","19731","Cauliflower Soup",4.55257321815791,4.77247454078188,5,-0.447426781842093,-0.227525459218121
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","41384","Black Bean ‘n’ Pumpkin Chili",4.55257321815791,4.43481078105572,2,2.55257321815791,2.43481078105572
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","19731","Cauliflower Soup",4.06899329535817,4.98994440395758,5,-0.931006704641831,-0.010055596042422
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","36450","Fluffy Key Lime Pie",4.06899329535817,5,4,0.0689932953581689,1
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","38183","Baked Tilapia",4.06899329535817,4.44614956088199,5,-0.931006704641831,-0.553850439118013
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","39549","Forgotten Jambalaya",3.71750014532532,4.6272578231577,5,-1.28249985467468,-0.372742176842304
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","39334","Chicken Penne Casserole",3.66447779442363,4.76872206119739,5,-1.33552220557637,-0.231277938802608
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","11588","Slow-Cooker Lasagna",3.66447779442363,4.74714780501052,5,-1.33552220557637,-0.252852194989477
"u_1oKVZUMDcz6fqhcfNkITken7Qof","386","Hot Milk Cake",3.9004036152268,4.81076974110348,4,-0.0995963847731991,0.810769741103484
"u_1oKVZUMDcz6fqhcfNkITken7Qof","9735","Comforting Chicken Noodle Soup",3.9004036152268,4.39791289247431,4,-0.0995963847731991,0.397912892474308
"u_1oKVZUMDcz6fqhcfNkITken7Qof","33121","Chocolate Chip Oatmeal Cookies",3.9004036152268,4.23060125193309,4,-0.0995963847731991,0.230601251933094
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","8431","Rhubarb Custard Bars",3.28049570455869,2.26617014545769,0,3.28049570455869,2.26617014545769
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","2832","Cheeseburger Soup",3.28049570455869,2.15795659592526,5,-1.71950429544131,-2.84204340407474
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","74724","Chocolate Guinness Cake",3.28049570455869,0,0,3.28049570455869,0
"u_1oKVZagX4nkLravRce6v3sDjTYT","9735","Comforting Chicken Noodle Soup",4,5,5,-1,8.88178419700125e-16
"u_1oKVZagX4nkLravRce6v3sDjTYT","1063","Frosted Banana Bars",4,5,5,-1,0
"u_1oKVZagX4nkLravRce6v3sDjTYT","36217","Creamy Macaroni and Cheese",4,5,1,3,4
"u_1oKVZangmN67bJNxpyD1j55VJCj","12700","Big Soft Ginger Cookies",4.29833842667217,4.25127632896629,5,-0.701661573327827,-0.74872367103371
"u_1oKVZangmN67bJNxpyD1j55VJCj","19731","Cauliflower Soup",4.29833842667217,4.44449248680103,5,-0.701661573327827,-0.55550751319897
"u_1oKVZangmN67bJNxpyD1j55VJCj","9739","Best Ever Potato Soup",4.29833842667217,4.88367415762663,4,0.298338426672173,0.883674157626633
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","12700","Big Soft Ginger Cookies",4,5,0,4,5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","16458","Cherry Bars",4,5,5,-1,0
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","32535","Creamy Grape Salad",4,5,5,-1,0
"u_1oKVZayWppErhTC8Zdspk9bGr7q","2912","Zucchini Pizza Casserole",4.12179142594224,4.5956023084466,4,0.121791425942241,0.595602308446602
"u_1oKVZayWppErhTC8Zdspk9bGr7q","9010","Favorite Dutch Apple Pie",4.12179142594224,4.40573884699649,4,0.121791425942241,0.405738846996488
"u_1oKVZayWppErhTC8Zdspk9bGr7q","12734","Cheesy Ham Chowder",4.12179142594224,4.29359462669119,4,0.121791425942241,0.293594626691192
"u_1oKVZb4mPvJPUKjhJKYa3BYsPlI","27626","Skillet Shepherd’s Pie",4,5,5,-1,0
"u_1oKVZb4mPvJPUKjhJKYa3BYsPlI","20170","Taco Lasagna",4,5,5,-1,0
"u_1oKVZb4mPvJPUKjhJKYa3BYsPlI","33206","Pineapple Orange Cake",4,5,0,4,5
"u_1oKVZbcNg5NYW87grfhDXNePwbL","32248","Smothered Chicken Breasts",4.12037697787705,5,5,-0.879623022122955,0
"u_1oKVZbcNg5NYW87grfhDXNePwbL","2912","Zucchini Pizza Casserole",4.05098674333118,3.60587188903679,5,-0.949013256668817,-1.39412811096321
"u_1oKVZbcNg5NYW87grfhDXNePwbL","42873","Teriyaki Chicken Thighs",4.05098674333118,4.24084783756815,5,-0.949013256668817,-0.759152162431852
"u_1oKVZd0VlaqtDDqRaaytyYAEs0W","31278","Corn Pudding",4.17136116632567,4.63676874731665,5,-0.828638833674335,-0.363231252683348
"u_1oKVZd0VlaqtDDqRaaytyYAEs0W","7539","Fluffy Pancakes",4.14093718238218,4.06410241552318,5,-0.859062817617821,-0.935897584476824
"u_1oKVZd0VlaqtDDqRaaytyYAEs0W","12259","Banana Bars with Cream Cheese Frosting",4.14093718238218,4.23960326380674,5,-0.859062817617821,-0.760396736193258
"u_1oKVZdmUbQTYMVdbXOpVfRQuHm9","27626","Skillet Shepherd’s Pie",3.63941654117715,4.75874903086364,5,-1.36058345882285,-0.241250969136363
"u_1oKVZdmUbQTYMVdbXOpVfRQuHm9","23222","Baked Mushroom Chicken",3.63941654117715,4.82700797258495,5,-1.36058345882285,-0.172992027415047
"u_1oKVZdmUbQTYMVdbXOpVfRQuHm9","20170","Taco Lasagna",3.63941654117715,4.2468922301006,5,-1.36058345882285,-0.753107769899401
"u_1oKVZdntxwYzxksw1IqW0kld9jH","2912","Zucchini Pizza Casserole",4,5,5,-1,0
